Target,Thrust Speed Average,Total thrust force,Screw revolution,Cutter Torque,Screw Torque,Soil Pressure
1,51,19.941,10.1,5.039,0.505,151
1,50,19.923,10.1,5.001,0.511,151
1,52,19.573,10.1,5.002,0.553,150
1,50,19.298,9.8,5.061,0.549,149
1,50,19.299,9.6,5.04,0.521,149
1,51,19.443,10.6,5.016,0.537,149
1,50,19.453,9.7,5.039,0.588,148
1,36,18.796,8.1,4.93,0.619,148
1,50,19.821,9.8,4.962,0.522,146
1,51,19.814,9.6,4.976,0.484,146
1,50,19.897,10.6,4.981,0.525,146
1,49,20.095,9.8,4.986,0.54,146
1,51,20.15,9.7,4.958,0.609,146
1,50,20.161,9.9,4.971,0.59,145
1,50,20.272,9.6,5.191,0.534,145
1,51,20.518,10.1,5.182,0.57,145
1,50,20.823,9.2,5.161,0.615,145
1,36,20.235,6.9,5.179,0.64,146
1,51,21.506,10.6,5.157,0.528,145
1,52,21.327,9.8,5.182,0.51,145
1,51,21.317,9.8,5.197,0.561,145
1,52,21.219,10.3,5.195,0.562,145
1,51,21.145,10.2,5.168,0.589,144
1,50,21.217,9.4,5.188,0.54,144
1,51,21.507,9.2,5.181,0.537,144
1,51,21.702,9.8,5.165,0.519,144
1,50,21.498,9.8,5.164,0.561,144
1,36,20.339,7.8,4.944,0.609,145
1,52,22.021,10.7,4.935,0.505,144
1,50,21.722,9.7,4.96,0.474,144
1,51,21.74,10,4.951,0.54,144
1,51,21.637,10,4.934,0.569,143
1,51,21.632,9.8,4.959,0.585,143
1,51,21.702,9.5,4.933,0.538,143
1,52,21.704,9.5,4.927,0.524,143
1,52,22.127,9.5,4.949,0.528,143
1,51,21.673,10.9,4.951,0.537,142
1,37,20.879,7.2,4.964,0.632,143
1,51,22.221,9.9,4.981,0.532,142
1,50,22.061,10,5.015,0.53,142
1,51,22.06,10,4.999,0.533,142
1,52,22.02,9.9,4.987,0.572,142
1,49,22.038,9.1,5.046,0.568,142
1,52,22.314,9.8,5.071,0.585,142
1,51,22.538,9.9,5.07,0.562,142
1,50,22.816,9.8,5.089,0.53,142
1,47,20.378,8.2,5.223,0.569,141
1,0,5.842,0,5.06,0.779,154
1,34,20.272,6.1,4.942,0.659,154
1,50,22.317,9.3,4.957,0.523,154
1,50,22.01,10.2,4.955,0.518,154
1,51,21.58,10.5,4.959,0.549,153
1,51,21.319,9.8,4.961,0.552,153
1,50,21.206,9.2,4.933,0.567,153
1,50,21.175,10.3,4.937,0.547,152
1,51,20.864,10,4.968,0.547,152
1,51,20.808,9.9,4.938,0.536,151
1,50,20.593,10.7,4.935,0.571,151
1,39,20.658,7.6,4.923,0.658,151
1,50,21.05,9.9,4.962,0.543,150
1,50,20.95,10.4,5.151,0.505,149
1,50,21.377,9.9,5.173,0.517,149
1,50,21.778,10.2,5.161,0.55,148
1,50,22.086,9.4,5.143,0.572,148
1,50,22.618,8.8,5.151,0.57,148
1,50,22.936,8.6,5.173,0.56,148
1,50,23.375,9.5,5.157,0.575,148
1,51,22.893,10.1,5.168,0.615,148
1,38,21.389,8.4,5.221,0.702,147
1,52,21.485,10.5,5.16,0.547,146
1,50,20.792,10.5,5.066,0.532,146
1,51,20.682,10.5,5.032,0.517,146
1,51,20.605,10.4,5.023,0.534,145
1,50,20.653,9.5,5.024,0.538,146
1,50,21.171,9.2,4.991,0.591,146
1,51,21.135,9.7,4.997,0.551,145
1,50,21.529,9.2,4.984,0.549,145
1,52,21.507,10.6,4.984,0.539,144
1,37,21.013,8,4.894,0.614,144
1,50,22.568,9.7,4.929,0.519,144
1,51,22.803,9.6,4.964,0.533,144
1,50,22.792,10.6,4.963,0.563,144
1,51,22.45,9.8,4.95,0.587,144
1,52,21.911,9.7,4.971,0.575,144
1,51,21.737,9.2,4.998,0.559,144
1,50,22.025,9.1,4.984,0.534,144
1,51,21.96,9.9,4.996,0.581,144
1,52,20.955,11.2,4.991,0.547,143
1,37,20.025,7.9,5.042,0.601,144
1,51,21.068,10,5.11,0.497,143
1,52,20.635,10.4,5.148,0.495,143
1,51,20.813,9.7,5.173,0.539,143
1,50,21.034,9.2,5.15,0.529,143
1,50,21.718,9.2,5.13,0.576,143
1,51,21.809,9.2,5.143,0.542,143
1,49,22.188,8.9,5.113,0.538,143
1,51,22.693,8.9,5.096,0.588,143
1,50,23.371,7.8,5.081,0.671,144
1,37,22.042,7.7,4.907,0.671,145
1,53,22.164,10.6,4.892,0.53,143
1,51,21.841,10.4,4.889,0.492,143
1,51,21.555,10.7,4.907,0.538,143
1,51,21.315,10.5,4.902,0.518,143
1,51,21.227,10.1,4.901,0.547,142
1,50,21.679,9.2,4.925,0.545,142
1,48,22.186,8.5,4.937,0.56,143
